piano_ids,song_ids,genre
jrpCXyQO76k,FFC5pMixoi8,rembetiko
BDqoyWIKdpk,k5OdT94T9PA,laiko
NPzDto1ytT0,cqgItDZoAHo,modernlaiko
NvuApMRMiXs,ONkRApnVzus,enallaktiko
X_Crf3J-Svs,_-9RjlVSv7c,pop
XNbsAe_k620,BLIjRIpLJVE,modernlaiko
QekfTscVp9c,fnwjrQ9d2e4,entekhno
aSVTESqWVIU,gie2DCgc_wQ,enallaktiko
75BSOU7SjVY,T-f-vQX942I,entekhno
O1WS2PoEKMo,LQMsT4lNG2g,laiko
pA-lb8jm7is,iwqNLa3CZyg,laiko
OqfcszKFxk4,xPdSaAHct2o,rembetiko
dNju65_fCKI,H3wsCLJ5ePc,rembetiko
wvMQTHKNsok,gCI5iKPbwkQ,pop
oMN82jw6r-w,OwUrBdn3HYU,modernlaiko
xz5fYJ_jxiE,11n-S2mQXQo,laiko
brfbK3CxjK0,ou2fZJelHc,laiko
qwQwpc7cVBE,fysw1kQKw_w,pop
Oco5-5hJfdk,CJFgPuuHG3Q,modernlaiko
Pktx4Vlui5I,atmi6WJAFeY,modernlaiko
xGmtOQTqKqI,94tTsb-fhzw,pop
iYxI6QAbm0Y,GFDE0RJGB5A,laiko
qBYdBw1M8yI,uU-mHbLPaOk,entekhno
o0BF_E2Db5c,EdJvHLKRgxk,rembetiko
6mEp6OHaf3o,wBiZgZ5KFvo,entekhno
eNCgbicqGbU,MKY7IK8heQk,modernlaiko
Y9_GIzuBEa8,pPIKEtOe9r8,modernlaiko
_jBdBbnQvFg,TSoDj9mD60k,laiko
6aHxQQrjOXc,G1jTBtIm5xk,entekhno
c1nM5YFjyvI,Ld2a59uYSqc,modernlaiko
6G7AJ_2rLsQ,j5nPynvqtfk,pop
Uk-bmg1pic0,_6X3_dEda4c,entekhno
pZTWJVa1HF8,gbs2IGaSlo,entekhno
eLpOanoCA8M,Wgn5SbpI53k,enallaktiko
XqM3GgOct2s,KTpyc_AmL9U,entekhno
aopBB9MHeR4,3TeICVPpCTE,enallaktiko
zAc2iG1zXtg,rnK-O85qaKg,modernlaiko
hNJTySPfJcU,6Ye0NOn7nrI,modernlaiko
PqnKMxSBXMo,_fDRMhDHGOs,modernlaiko
jvEKjCHooXc,KspqVf8-FmI,pop
3cMpc3LPKWA,qNNXf1dZJKs,enallaktiko
1tVA_6DK_Qo,1tVA_6DK_Qo,pop
QbSbQsLzgys,eojxssdyNVg,entekhno
